training
"I purchased this product because I wanted a safe, natural, USA made chicken jerky treat from my long hair chihuahuas.  This product appeared in the search ""chicken jerky treats made in USA"".  Both dogs loved the treat, but it is VERY crumbly and they stick together, tearing into pieces when you try to remove one from the bag.  It is NOT ""jerky like"" in any way.  My chihuahuas finished off one each in under 10 seconds. I am buying this product again, but will purposely crumble them and use them for mini treats/training rewards only.  If you are looking for something for your dog to gnaw on for awhile, this is not it... TL;DR Chicken Jerky?????"
This is the only flavor of soft food my cats will eat. They eat dry food but the come running for this. TL;DR Love it
My cat could not tolerate Science Diet Prescription cat food so I tried this organic food.  This food eliminated her puking.  She has never had any digestive problems with the Organix dry food and eats it without hesitation.  She eats the Organix Adult and Kitten dry cat food with a little more gusto so I mix in some of that food with this one.  I plan to keep her on the Organix dry food indefinitely. Great products! TL;DR Great cat food!
"They are always running out of stock.  ""They say"" it's because of a hold-up at the border.  I say - who's checking inventory?  They were out of stock in April and again in August.  I was told on August 16 that they would have coffee in their warehouse on 8/17.  Today we still have no coffee.  How can a coffee company be out of coffee?  This is a recurring problem with Tim Horton and I'm getting really tired of it.  Perhaps you - Amazon - can do something to get them to fix this problem once and for all because they sure don't pay attention to their customers.  I'm surprised that you have any coffee left.  Usually when Tim Horton is out of coffee, so are you. TL;DR I like it - BUT......."
I enjoy hot coco and I must say that this is the best I have ever had. TL;DR The best coco I have ever had
"We have 2 dogs, both mini aussies, 30 and 50 pounds.  We were going crazy letting them in and out, and the last time we went on vacation and had a pet sitter come over, they chewed things all over the house waiting for her to come by to let them out.  So, my wife said, ""We have to get a doggie door.""  I began researching the field.<br /><br />We didn't want a traditional ""flap"" door because of the likely HVAC leaks and the potential for animals to enter our home.  So, I decided we needed something with an electronic sensor and lock.  The only other electronic door that has any sales volume is the Pet Safe door, but reviews for it were not at all favorable.  That left the High Tech Power Pet door as the only good option.  We had to buy a new patio door to install it (because our existing one was all glass), but decided it was worth it based on reviews.<br /><br />The reviews are correct (you can read many, many at[...]). This is the best solution for anyone wanting to let their pet out when it wants to go out.  Our dogs learned immediately how to use it.  Now we can go to bed at night knowing that if Pepper or Dusty want out, they can go out.  And squirrels, etc. won't be able to get in.  The only problem is our two cats feel left out.  But they lose their collars, and the sensors are expensive.<br /><br />The only negative is the sensor.  I know we are going to have to buy more of these, and at $35 a shot, that is going to add up.  Also, they come with a simple thin strap that goes around your pet's neck.  There is no easy way to attach it to a traditional collar.  They should make an attachment that permits this.  The good news on sensors is they are light weight. They are also directional, so if your pet walks by the door but doesn't face it, the door most likely will not open.  If your pet stands there in front of the door, it will stay open, waiting for the pet to go through.  It's basically a Star Trek door for your pet.<br /><br />The best part was Amazon Prime.  Not only was the door cheaper than ANY PLACE else, we got it in 2 days.  I love Amazon Prime! TL;DR The Best Overall Solution"
"Whenever I crave ginger cookies I go for these. They're not only wheat-free, but have just the right 'bite' of ginger. The sliced almonds in this soft cookie add a great touch. TL;DR If you love ginger..."
"Great product. I use it to clean my TIGER 3 Liter Water Heater. It can also be used to clean coffee makers, tea kettles, pots & pans, dishwashers, steam cleaners, and many other products affected by hard water deposits.<br /><br />Very pure and quality product. Place in a freezer Ziplock bag for freshness once opened. TL;DR Quality Product Cleans Hard Water Deposits"
I believe they wanted this cookie to taste like a brownie. I am so used to Chips Ahoy having that subtle choco flavor with a crisp bite that this cookie surprised me. It is gooey as stated on the package but the texture is awful. Enough for me and my daughter not to finish our cookies. We love cookies so you know that this was not a good one if we did not finish it! The taste is not a brownie taste. Can't even explain it. I am sure they are trying to branch out with more choices but how did this one pass their focus groups?? TL;DR Strange texture
"I bought my brewer last Sunday. I have been waiting a long time to buy it, and I'm really satisfied of my purchase! I could taste plastic in my first cup of coffee, but I ran a cycle with water and vinegar, and then a few cycles only with water, and it fixed the problem. I can't wait to receive my free k-cups from Keurig! I'm so satisfied I think I will buy a Keurig Mini to use at work!!<br /><br />If I had something negative to say, it would be the choice of cup sizes. If I want to fill a travel mug, I have to brew two cups, one large and one small cup. But otherwise, I'm completely sold to this product. Sure, I would like the k-cups to be less expensive, but if you buy them on the internet instead of the grocery store, you can save a lot. Also, you can buy a reusable plastic k-cup to brew your own coffee. I would recommend this machine to any coffee lover :) TL;DR I love my new brewer!!"
